Number,Type,Congress,Title,Url,Sponsor,Subject,Text Access
4367,S,118,Thomas R. Carper Water Resources Development Act of 2024,https://api.congress.gov/v3/bill/118/s/4367?format=xml,"Sen. Carper, Thomas R. [D-DE]",Water Resources Development,https://www.congress.gov/118/bills/s4367/BILLS-118s4367enr.xml
7938,HR,118,Klamath Basin Water Agreement Support Act of 2024,https://api.congress.gov/v3/bill/118/hr/7938?format=xml,"Rep. Bentz, Cliff [R-OR-2]",Water Resources Development,https://www.congress.gov/118/bills/hr7938/BILLS-118hr7938enr.xml
8413,HR,118,Swanson and Hugh Butler Reservoirs Land Conveyances Act,https://api.congress.gov/v3/bill/118/hr/8413?format=xml,"Rep. Smith, Adrian [R-NE-3]",Water Resources Development,https://www.congress.gov/118/bills/hr8413/BILLS-118hr8413enr.xml
7872,HR,118,Colorado River Salinity Control Fix Act,https://api.congress.gov/v3/bill/118/hr/7872?format=xml,"Rep. Curtis, John R. [R-UT-3]",Water Resources Development,https://www.congress.gov/118/bills/hr7872/BILLS-118hr7872enr.xml
5770,HR,118,Water Monitoring and Tracking Essential Resources (WATER) Data Improvement Act,https://api.congress.gov/v3/bill/118/hr/5770?format=xml,"Rep. Neguse, Joe [D-CO-2]",Water Resources Development,https://www.congress.gov/118/bills/hr5770/BILLS-118hr5770enr.xml
4385,HR,118,Drought Preparedness Act,https://api.congress.gov/v3/bill/118/hr/4385?format=xml,"Rep. Neguse, Joe [D-CO-2]",Water Resources Development,https://www.congress.gov/118/bills/hr4385/BILLS-118hr4385enr.xml
4094,HR,118,Great Salt Lake Stewardship Act,https://api.congress.gov/v3/bill/118/hr/4094?format=xml,"Rep. Curtis, John R. [R-UT-3]",Water Resources Development,https://www.congress.gov/118/bills/hr4094/BILLS-118hr4094enr.xml
1607,HR,118,"To clarify jurisdiction with respect to certain Bureau of Reclamation pumped storage development, and for other purposes.",https://api.congress.gov/v3/bill/118/hr/1607?format=xml,"Rep. Schweikert, David [R-AZ-1]",Water Resources Development,https://www.congress.gov/118/bills/hr1607/BILLS-118hr1607enr.xml
